"language","total_score","repo_count","total_stars","total_forks","avg_days_since_update","avg_date_weight","repo_count_score","final_score","percentage","label"
"Go",10.613470081006,17,637,71,509.058823529412,0.378846977265584,10.1163011526366,20.7297712336425,20.9,"Go (20.9%)"
"Java",7.7723432101931,7,448,157,609.571428571429,0.499864066417868,7.27804539587942,15.0503886060725,15.2,"Java (15.2%)"
"PHP",4.82419571282518,8,751,189,870.125,0.256073921548052,7.69028602067677,12.5144817335019,12.6,"PHP (12.6%)"
"JavaScript",2.9251666761066,5,554,119,555.2,0.323984091745747,6.27115814229819,9.1963248184048,9.3,"JavaScript (9.3%)"
"Rust",4.27936206705752,3,29,1,83,0.829182731138146,4.85203026391962,9.13139233097714,9.2,"Rust (9.2%)"
"Shell",1.51212659428168,2,9,5,541,0.495730182760382,3.84514301033838,5.35726960462006,5.4,"Shell (5.4%)"
"Dockerfile",0.0889892507286736,3,9,6,1001,0.0644113284698648,4.85203026391962,4.94101951464829,5,"Dockerfile (5%)"
"HTML",1.04689158519067,2,2,1,591,0.392675250795064,3.84514301033838,4.89203459552905,4.9,"HTML (4.9%)"
"C++",0.0566955746929563,2,5,2,1001,0.0644113284698648,3.84514301033838,3.90183858503134,3.9,"C++ (3.9%)"
"TeX",0.974294420534974,1,0,0,105,0.750008129725363,2.42601513195981,3.40030955249478,3.4,"TeX (3.4%)"
"PowerShell",0.426992953210696,1,2,0,339,0.395040446434007,2.42601513195981,2.8530080851705,2.9,"PowerShell (2.9%)"
"C",0.0256539020718298,1,0,1,1001,0.0644113284698648,2.42601513195981,2.45166903403164,2.5,"C (2.5%)"
"CSS",0.024520800490174,1,0,0,1001,0.0644113284698648,2.42601513195981,2.45053593244998,2.5,"CSS (2.5%)"
"Python",0.0131905424251226,1,5,0,1204,0.0369337269099852,2.42601513195981,2.43920567438493,2.5,"Python (2.5%)"
